shot_id,keeper,character_consistency_1_5,location_consistency_1_5,style_consistency_1_5,notes
shot_001,,,,,
shot_002,,,,,
shot_003,,,,,
shot_004,,,,,
shot_005,,,,,
shot_006,,,,,
shot_007,,,,,
shot_008,,,,,
